大空间 带阳台 押一付一 可短租 曼哈顿广场 燕庄地铁 双气,3,1,30,合租,600,dengfeng
超D价整租三室 仅一套 华悦时间广场 盛润国际 CBD,3,1,95,整租,1999,dengfeng
暖气已开 新芒果和郡 实图实价 市体育中心地铁口龙子湖 东站,3,2,35,合租,700,dengfeng
朝南飘窗 独立卫浴 全女生 曼哈顿楼上 燕庄地铁口 无中介费,3,1,30,合租,800,dengfeng
独立厨房 阳台 有燃气 朝南,3,2,30,合租,600,dengfeng
双气两室，西大街地铁口，第三人民医院，银基锦荣，福华大厦短租,2,1,97,整租,1200,dengfeng
整租 可短租月付 年前特价出租 环球大厦 带阳台 暖气房,3,2,30,合租,499,dengfeng
经三路 主卧大阳台 2号线地铁口 金成国际 正弘城 酒吧街,3,2,25,合租,650,dengfeng
900包物业费 可以短租 押一付一 桐淮地铁口 精装一室,1,1,18,整租,900,dengfeng
大观国际居住区南区 配套齐全 93平 精装修 无中介费,2,2,93,整租,3000,dengfeng
天气寒冷 非诚勿扰 实际照片,3,1,30,合租,700,dengfeng
988医院对面锦艺轻纺城附近孙庄北院小区次卧450朝南带空调,3,1,16,合租,450,dengfeng
须水锦艺轻纺城元通大厦附近988医院对面精装带飘窗朝南卧室,3,1,20,合租,500,dengfeng
万锦城 五大街 两室 价格不贵 交通便利 可好,2,1,39,整租,1700,dengfeng
年前低价出租 押一付一 可短租 兴业大厦 升龙大厦 曼哈顿,3,1,28,合租,550,dengfeng
短租到年前 押一付一 全女生 户数少 省医 金成时代 5号线,3,1,30,合租,600,dengfeng
高档小区 特价甩租 猿辅导 协和广场 楷林国际 民航地铁口,3,1,28,合租,550,dengfeng
精装两室，银基广场，锦荣商贸，钱塘衣城，通讯天地，大润发短租,2,1,98,整租,1300,dengfeng
楼下四号线地铁口 精装两室 业主直签 临金水区总医院瀚海北金,2,2,90,整租,1650,dengfeng
新上两室！业主直签 陈砦花卉 悠悠帕克 海洋馆 美盛物业,2,2,90,整租,2000,dengfeng
押一付一 东风路南阳路 地铁三号线 河南工程学院 升龙汇金,3,2,18,合租,600,dengfeng
精致一室！无中介费 临近二院地铁口 可短租 家电齐全 速联！,1,1,29.8,整租,900,dengfeng
可短租 年前特价 干净整洁 地铁口 正弘城 财经政法大学,3,1,30,合租,330,dengfeng
1楼一室一卫暖气房 实图实价押一付一2.3号线地铁口拎包入住,3,2,30,合租,800,dengfeng
精装loft两室 凤凰台 华悦时间广场 唐人街茶城 环球大厦,2,2,90,整租,1899,dengfeng
实图实价 免费看房 全女生 暖气已开 环球大厦 华悦时间广场,3,1,30,合租,600,dengfeng
时尚简约 干净整洁  特价出租大三居 随时看房居住,3,2,140,整租,3200,dengfeng
新上三室！全屋定制 软包床 无中介费 国基路文化路 海洋馆,3,2,136,整租,2800,dengfeng
美克美家家私，首租四房带车位有密码随时看房！平煤神马金融智谷,4,2,145.6,整租,15000,dengfeng
聂庄 肿瘤医院 金成时代 五号线 正规一居室 民水民电包物业,1,0,30,整租,900,dengfeng
实拍图 地铁口  融园广场 丹尼斯 润达商务 正弘城,4,2,31,合租,550,dengfeng
自家房子  谦祥万和城  单间出租  可短租月付,3,1,12,合租,320,dengfeng
远大理想城 1室0厅1卫 1200.0元 电梯房,1,0,42.8,整租,1200,dengfeng
阳光城5号院 2室1厅1卫,2,1,88.1,整租,1800,dengfeng
海亮时代ONE 1室0厅2卫,1,0,36,整租,900,dengfeng
燕庄 地铁口 融创金水府 精装一室一厅 环境优美 随时看房,1,0,56.6,整租,2000,dengfeng
庙李商业中心 1室0厅1卫,1,0,43,整租,1600,dengfeng
3室 农业路 天明路 怡丰新都汇 丰业广场,3,2,125,整租,2400,dengfeng
280一月 可短租 可月付 升龙国际华城国际 骨科医院古玩城,3,2,26,合租,350,dengfeng
汉飞金沙国际 3室1厅1卫 精装修 电梯房 南北通透,3,1,89,整租,1600,dengfeng
三户合租全女生 可短租月付 二七广场 大卫城 德化街 亚细亚,3,1,30,合租,500,dengfeng
独卫全女生 东大街 第一人民医院 金城国贸 金多银多 新世界,3,2,30,合租,500,dengfeng
中力七里湾 商都路通泰路 居然之家 南北通透 建业5栋大楼旁,2,2,93,整租,2500,dengfeng
新嘉苑润府 3室2厅1卫,3,2,92,整租,1000,dengfeng
中原区！西四环！汇泉西悦城11号院一室一厅！配置齐全随时看房,1,1,35,整租,1000,dengfeng
3室 农业路 南阳路新村 地铁口 低价出租,3,1,83,整租,1500,dengfeng
站马屯韶苑 2室2厅1卫,2,2,68,整租,1500,dengfeng
凤凰城  凤凰台地铁 主卧独卫 环球大厦 拎包入住,3,2,25,合租,700,dengfeng
精装两室 实图实价 拎包入住 近地铁口太格茂 木华 博雅广场,2,1,80,整租,1699,dengfeng
中鼎翡翠 航海广场地铁口 朝南大阳台 新装修 富田新天地,3,2,30,合租,450,dengfeng
暖气房 短租月付 环球大厦 英协广场 英协广场 地铁3号线,3,2,28,合租,780,dengfeng
短租 月付 双人床 怡乐 康帆 楷林国际 猿辅导 有厨房,3,2,35,合租,500,dengfeng
次卧合租 独立洗衣机 带阳台 短租月付 长通物流园 特价出租,3,2,25,合租,500,dengfeng
找室友 暖气房 地铁口 全女生合租 猿辅导 升龙大厦 CBD,2,2,30,合租,550,dengfeng
可短租可短租可短租，标准的一室一厅,1,1,35,整租,1000,dengfeng
燕庄 曼哈顿广场 整租朝南一室 可以押一付一 随时入住,3,2,35.7,合租,700,dengfeng
房东急租！可短租！中原万达附近地铁口 淮河路小学73中随时看,2,1,80,整租,1250,dengfeng
鑫苑国际城市花园 1室0厅1卫 1200.0元 电梯房,1,0,44,整租,1200,dengfeng
主卧合租，京东亚一，郑大二附院，普洛斯附近家电齐全拎包入住,3,1,25,合租,500,dengfeng
